,Substation,Training_Data_Index,Bus_Voltage
0,Damak,test_data 1,0.995796
1,Damak,test_data 2,0.996506
2,Damak,test_data 3,0.995709
3,Damak,test_data 4,0.996186
4,Damak,test_data 5,0.996008
5,Damak,test_data 6,0.996166
6,Damak,test_data 7,0.995831
7,Damak,test_data 8,0.996135
8,Damak,test_data 9,0.996266
9,Damak,test_data 10,0.995665
10,Damak,test_data 11,0.996093
11,Damak,test_data 12,0.995784
12,Damak,test_data 13,0.996111
13,Damak,test_data 14,0.995552
14,Damak,test_data 15,0.996282
15,Damak,test_data 16,0.995764
16,Damak,test_data 17,0.99581
17,Damak,test_data 18,0.995695
18,Damak,test_data 19,0.996274
19,Damak,test_data 20,0.995801
20,Damak,test_data 21,0.996022
21,Damak,test_data 22,0.996126
22,Damak,test_data 23,0.996102
23,Damak,test_data 24,0.996629
24,Damak,test_data 25,0.996131
25,Damak,test_data 26,0.996229
26,Damak,test_data 27,0.996649
27,Damak,test_data 28,0.996662
28,Damak,test_data 29,0.996411
29,Damak,test_data 30,0.995721
30,Damak,test_data 31,0.996563
31,Damak,test_data 32,0.995994
32,Damak,test_data 33,0.996206
33,Damak,test_data 34,0.996678
34,Damak,test_data 35,0.996362
35,Damak,test_data 36,0.995589
36,Damak,test_data 37,0.996187
37,Damak,test_data 38,0.996036
38,Damak,test_data 39,0.996541
39,Damak,test_data 40,0.996314
40,Damak,test_data 41,0.996539
41,Damak,test_data 42,0.996005
42,Damak,test_data 43,0.996221
43,Damak,test_data 44,0.99584
44,Damak,test_data 45,0.996025
45,Damak,test_data 46,0.995358
46,Damak,test_data 47,0.995902
47,Damak,test_data 48,0.996711
48,Damak,test_data 49,0.995672
49,Damak,test_data 50,0.996749
50,Damak,test_data 51,0.995495
51,Damak,test_data 52,0.996227
52,Damak,test_data 53,0.996102
53,Damak,test_data 54,0.99632
54,Damak,test_data 55,0.996377
55,Damak,test_data 56,0.996017
56,Damak,test_data 57,0.996433
57,Damak,test_data 58,0.996252
58,Damak,test_data 59,0.995731
59,Damak,test_data 60,0.996376
60,Damak,test_data 61,0.995151
61,Damak,test_data 62,0.995672
62,Damak,test_data 63,0.997091
63,Damak,test_data 64,0.996678
64,Damak,test_data 65,0.996155
65,Damak,test_data 66,0.996202
66,Damak,test_data 67,0.99636
67,Damak,test_data 68,0.99557
68,Damak,test_data 69,0.996634
69,Damak,test_data 70,0.996419
70,Damak,test_data 71,0.99671
71,Damak,test_data 72,0.996657
72,Damak,test_data 73,0.996687
73,Damak,test_data 74,0.996414
74,Damak,test_data 75,0.996158
75,Damak,test_data 76,0.996129
76,Damak,test_data 77,0.99657
77,Damak,test_data 78,0.995928
78,Damak,test_data 79,0.995965
79,Damak,test_data 80,0.996095
80,Damak,test_data 81,0.996146
81,Damak,test_data 82,0.996404
82,Damak,test_data 83,0.99627
83,Damak,test_data 84,0.995978
84,Damak,test_data 85,0.995987
85,Damak,test_data 86,0.995547
86,Damak,test_data 87,0.996838
87,Damak,test_data 88,0.995865
88,Damak,test_data 89,0.997444
89,Damak,test_data 90,0.99556
90,Damak,test_data 91,0.995872
91,Damak,test_data 92,0.996479
92,Damak,test_data 93,0.996105
93,Damak,test_data 94,0.996394
94,Damak,test_data 95,0.995594
95,Damak,test_data 96,0.995812
96,Damak,test_data 97,0.996024
97,Damak,test_data 98,0.9961
98,Damak,test_data 99,0.996157
99,Damak,test_data 100,0.996365
100,Damak,test_data 101,0.996671
101,Damak,test_data 102,0.99577
102,Damak,test_data 103,0.996158
103,Damak,test_data 104,0.996803
104,Damak,test_data 105,0.995985
105,Damak,test_data 106,0.996698
106,Damak,test_data 107,0.996167
107,Damak,test_data 108,0.99597
108,Damak,test_data 109,0.995649
109,Damak,test_data 110,0.99597
110,Damak,test_data 111,0.995991
111,Damak,test_data 112,0.996911
112,Damak,test_data 113,0.996293
113,Damak,test_data 114,0.996067
114,Damak,test_data 115,0.996457
115,Damak,test_data 116,0.996251
116,Damak,test_data 117,0.996072
117,Damak,test_data 118,0.996334
118,Damak,test_data 119,0.996621
119,Damak,test_data 120,0.995789
120,Damak,test_data 121,0.99656
121,Damak,test_data 122,0.995346
122,Damak,test_data 123,0.996703
123,Damak,test_data 124,0.996237
124,Damak,test_data 125,0.996331
125,Damak,test_data 126,0.996731
126,Damak,test_data 127,0.995804
127,Damak,test_data 128,0.99549
128,Damak,test_data 129,0.997273
129,Damak,test_data 130,0.996045
130,Damak,test_data 131,0.995363
131,Damak,test_data 132,0.99518
132,Damak,test_data 133,0.996275
133,Damak,test_data 134,0.996077
134,Damak,test_data 135,0.997229
135,Damak,test_data 136,0.996486
136,Damak,test_data 137,0.996115
137,Damak,test_data 138,0.99586
138,Damak,test_data 139,0.996516
139,Damak,test_data 140,0.996301
140,Damak,test_data 141,0.996003
141,Damak,test_data 142,0.99646
142,Damak,test_data 143,0.996285
143,Damak,test_data 144,0.995847
144,Damak,test_data 145,0.996354
145,Damak,test_data 146,0.996765
146,Damak,test_data 147,0.995372
147,Damak,test_data 148,0.996075
148,Damak,test_data 149,0.996417
149,Damak,test_data 150,0.99636
150,Damak,test_data 151,0.995942
