test_data,I_a,I_b,I_c,Fault_Type
1,2.789859,0,0,2
2,2.794565,0,0,2
3,2.795167,0,0,2
4,2.795763,0,0,2
5,2.788781,0,0,2
6,2.788336,0,0,2
7,2.794885,0,0,2
8,2.788165,0,0,2
9,2.788299,0,0,2
10,2.794395,0,0,2
11,2.792136,0,0,2
12,2.790942,0,0,2
13,2.792356,0,0,2
14,2.788148,0,0,2
15,2.78845,0,0,2
16,2.7882,0,0,2
17,2.792405,0,0,2
18,2.797076,0,0,2
19,2.790727,0,0,2
20,2.791118,0,0,2
21,2.794355,0,0,2
22,2.792842,0,0,2
23,2.796898,0,0,2
24,2.794291,0,0,2
25,2.792518,0,0,2
26,2.797043,0,0,2
27,2.793869,0,0,2
28,2.788885,0,0,2
29,2.791213,0,0,2
30,2.791497,0,0,2
31,2.791848,0,0,2
32,2.796764,0,0,2
33,2.789444,0,0,2
34,2.790935,0,0,2
35,2.79293,0,0,2
36,2.796027,0,0,2
37,2.791093,0,0,2
38,2.797032,0,0,2
39,2.790452,0,0,2
40,2.789019,0,0,2
41,2.790417,0,0,2
42,2.790851,0,0,2
43,2.788474,0,0,2
44,2.792147,0,0,2
45,2.791662,0,0,2
46,2.793839,0,0,2
47,2.78959,0,0,2
48,2.790991,0,0,2
49,2.793609,0,0,2
50,2.793739,0,0,2
51,2.794306,0,0,2
52,2.792504,0,0,2
53,2.79516,0,0,2
54,2.787982,0,0,2
55,2.796487,0,0,2
56,2.791045,0,0,2
57,2.789895,0,0,2
58,2.793733,0,0,2
59,2.793545,0,0,2
60,2.788729,0,0,2
61,2.792724,0,0,2
62,2.793482,0,0,2
63,2.787981,0,0,2
64,2.794159,0,0,2
65,2.797053,0,0,2
66,2.793483,0,0,2
67,2.793112,0,0,2
68,2.795139,0,0,2
69,2.790861,0,0,2
70,2.788884,0,0,2
71,2.795522,0,0,2
72,2.794592,0,0,2
73,2.788303,0,0,2
74,2.794882,0,0,2
75,2.796424,0,0,2
76,2.795458,0,0,2
77,2.797054,0,0,2
78,2.788223,0,0,2
79,2.791913,0,0,2
80,2.793333,0,0,2
81,2.789551,0,0,2
82,2.788762,0,0,2
83,2.790573,0,0,2
84,2.788071,0,0,2
85,2.793137,0,0,2
86,2.796734,0,0,2
87,2.788912,0,0,2
88,2.789502,0,0,2
89,2.793617,0,0,2
90,2.795721,0,0,2
91,2.791577,0,0,2
92,2.790052,0,0,2
93,2.796888,0,0,2
94,2.788683,0,0,2
95,2.789422,0,0,2
96,2.792738,0,0,2
97,2.796532,0,0,2
98,2.791992,0,0,2
99,2.792716,0,0,2
100,2.791655,0,0,2
101,2.788463,0,0,2
102,2.79334,0,0,2
103,2.7959,0,0,2
104,2.797083,0,0,2
105,2.791615,0,0,2
106,2.795752,0,0,2
107,2.796689,0,0,2
108,2.795769,0,0,2
109,2.793574,0,0,2
110,2.79602,0,0,2
111,2.790519,0,0,2
112,2.796827,0,0,2
113,2.795166,0,0,2
114,2.792158,0,0,2
115,2.791599,0,0,2
116,2.788512,0,0,2
117,2.78909,0,0,2
118,2.79438,0,0,2
119,2.795053,0,0,2
120,2.788105,0,0,2
121,2.788735,0,0,2
122,2.789296,0,0,2
123,2.795798,0,0,2
124,2.793242,0,0,2
125,2.793291,0,0,2
126,2.78886,0,0,2
127,2.794099,0,0,2
128,2.792657,0,0,2
129,2.793657,0,0,2
130,2.79638,0,0,2
131,2.793526,0,0,2
132,2.78959,0,0,2
133,2.789318,0,0,2
134,2.797055,0,0,2
135,2.793292,0,0,2
136,2.789645,0,0,2
137,2.794285,0,0,2
138,2.792916,0,0,2
139,2.788487,0,0,2
140,2.792771,0,0,2
141,2.787888,0,0,2
142,2.795166,0,0,2
143,2.789699,0,0,2
144,2.792314,0,0,2
145,2.79711,0,0,2
146,2.790774,0,0,2
147,2.791936,0,0,2
148,2.788063,0,0,2
149,2.78876,0,0,2
150,2.797137,0,0,2
151,2.796979,0,0,2
152,2.787977,0,0,2
153,2.789225,0,0,2
154,2.796902,0,0,2
155,2.788143,0,0,2
156,2.796026,0,0,2
157,2.792802,0,0,2
158,2.796341,0,0,2
159,2.792775,0,0,2
160,2.794667,0,0,2
161,2.792655,0,0,2
162,2.793951,0,0,2
163,2.790606,0,0,2
164,2.796951,0,0,2
165,2.793358,0,0,2
166,2.794079,0,0,2
167,2.788465,0,0,2
168,2.789548,0,0,2
169,2.796922,0,0,2
170,2.789194,0,0,2
171,2.791626,0,0,2
172,2.791404,0,0,2
173,2.793871,0,0,2
174,2.795733,0,0,2
175,2.792935,0,0,2
176,2.787907,0,0,2
177,2.792232,0,0,2
178,2.792297,0,0,2
179,2.792136,0,0,2
180,2.792446,0,0,2
181,2.788071,0,0,2
182,2.793534,0,0,2
183,2.793876,0,0,2
184,2.793115,0,0,2
185,2.791703,0,0,2
186,2.796127,0,0,2
187,2.796669,0,0,2
188,2.793415,0,0,2
189,2.794058,0,0,2
190,2.795019,0,0,2
191,2.792853,0,0,2
192,2.794657,0,0,2
193,2.791194,0,0,2
194,2.795631,0,0,2
195,2.793235,0,0,2
196,2.789358,0,0,2
197,2.792035,0,0,2
198,2.791144,0,0,2
199,2.790255,0,0,2
200,2.79529,0,0,2
201,2.793662,0,0,2
202,2.792492,0,0,2
203,2.792183,0,0,2
204,2.795258,0,0,2
205,2.78832,0,0,2
206,2.792474,0,0,2
207,2.795927,0,0,2
208,2.788173,0,0,2
209,2.793663,0,0,2
210,2.790498,0,0,2
211,2.7937,0,0,2
212,2.796548,0,0,2
213,2.788734,0,0,2
214,2.792167,0,0,2
215,2.796208,0,0,2
216,2.788904,0,0,2
217,2.79228,0,0,2
218,2.788213,0,0,2
219,2.792629,0,0,2
220,2.791063,0,0,2
221,2.787979,0,0,2
222,2.796844,0,0,2
223,2.789815,0,0,2
224,2.795898,0,0,2
225,2.795058,0,0,2
226,2.791702,0,0,2
