test_data,I_a,I_b,I_c,Fault_Type
1,0,2.295655,2.295655,1
2,0,2.295459,2.295459,1
3,0,2.29604,2.29604,1
4,0,2.29476,2.29476,1
5,0,2.295371,2.295371,1
6,0,2.295783,2.295783,1
7,0,2.292997,2.292997,1
8,0,2.293545,2.293545,1
9,0,2.294163,2.294163,1
10,0,2.293819,2.293819,1
11,0,2.2937,2.2937,1
12,0,2.292929,2.292929,1
13,0,2.295827,2.295827,1
14,0,2.295325,2.295325,1
15,0,2.293751,2.293751,1
16,0,2.29556,2.29556,1
17,0,2.292801,2.292801,1
18,0,2.293395,2.293395,1
19,0,2.294186,2.294186,1
20,0,2.295964,2.295964,1
21,0,2.293961,2.293961,1
22,0,2.293424,2.293424,1
23,0,2.295755,2.295755,1
24,0,2.293471,2.293471,1
25,0,2.293819,2.293819,1
26,0,2.293933,2.293933,1
27,0,2.295273,2.295273,1
28,0,2.29341,2.29341,1
29,0,2.292829,2.292829,1
30,0,2.295712,2.295712,1
31,0,2.292958,2.292958,1
32,0,2.29299,2.29299,1
33,0,2.296044,2.296044,1
34,0,2.294069,2.294069,1
35,0,2.293801,2.293801,1
36,0,2.293489,2.293489,1
37,0,2.293256,2.293256,1
38,0,2.294991,2.294991,1
39,0,2.29415,2.29415,1
40,0,2.294927,2.294927,1
41,0,2.295761,2.295761,1
42,0,2.294172,2.294172,1
43,0,2.29518,2.29518,1
44,0,2.295049,2.295049,1
45,0,2.295552,2.295552,1
46,0,2.295588,2.295588,1
47,0,2.295896,2.295896,1
48,0,2.295576,2.295576,1
49,0,2.29319,2.29319,1
50,0,2.292948,2.292948,1
51,0,2.295205,2.295205,1
52,0,2.295515,2.295515,1
53,0,2.295597,2.295597,1
54,0,2.29397,2.29397,1
55,0,2.29298,2.29298,1
56,0,2.293621,2.293621,1
57,0,2.293285,2.293285,1
58,0,2.293121,2.293121,1
59,0,2.293147,2.293147,1
60,0,2.293739,2.293739,1
61,0,2.29508,2.29508,1
62,0,2.294908,2.294908,1
63,0,2.293662,2.293662,1
64,0,2.294852,2.294852,1
65,0,2.294182,2.294182,1
66,0,2.29354,2.29354,1
67,0,2.293809,2.293809,1
68,0,2.293094,2.293094,1
69,0,2.294008,2.294008,1
70,0,2.293142,2.293142,1
71,0,2.292989,2.292989,1
72,0,2.29586,2.29586,1
73,0,2.295682,2.295682,1
74,0,2.293377,2.293377,1
75,0,2.295701,2.295701,1
76,0,2.294349,2.294349,1
77,0,2.294613,2.294613,1
78,0,2.295584,2.295584,1
79,0,2.294597,2.294597,1
80,0,2.292934,2.292934,1
81,0,2.293801,2.293801,1
82,0,2.294405,2.294405,1
83,0,2.294067,2.294067,1
84,0,2.294329,2.294329,1
85,0,2.293803,2.293803,1
86,0,2.293814,2.293814,1
87,0,2.293357,2.293357,1
88,0,2.293336,2.293336,1
89,0,2.295031,2.295031,1
90,0,2.293851,2.293851,1
91,0,2.295612,2.295612,1
92,0,2.293774,2.293774,1
93,0,2.294468,2.294468,1
94,0,2.294339,2.294339,1
95,0,2.296021,2.296021,1
96,0,2.295801,2.295801,1
97,0,2.295641,2.295641,1
98,0,2.294964,2.294964,1
99,0,2.294566,2.294566,1
100,0,2.294845,2.294845,1
101,0,2.294925,2.294925,1
102,0,2.296091,2.296091,1
103,0,2.293749,2.293749,1
104,0,2.296081,2.296081,1
105,0,2.293446,2.293446,1
106,0,2.293978,2.293978,1
107,0,2.293146,2.293146,1
108,0,2.294845,2.294845,1
109,0,2.294363,2.294363,1
110,0,2.294515,2.294515,1
111,0,2.292831,2.292831,1
112,0,2.294423,2.294423,1
113,0,2.295144,2.295144,1
114,0,2.294257,2.294257,1
115,0,2.294819,2.294819,1
116,0,2.295777,2.295777,1
117,0,2.295412,2.295412,1
118,0,2.293151,2.293151,1
119,0,2.295412,2.295412,1
120,0,2.295815,2.295815,1
121,0,2.293468,2.293468,1
122,0,2.292925,2.292925,1
123,0,2.294891,2.294891,1
124,0,2.295733,2.295733,1
125,0,2.293891,2.293891,1
126,0,2.295471,2.295471,1
127,0,2.296027,2.296027,1
128,0,2.294554,2.294554,1
129,0,2.29518,2.29518,1
130,0,2.295773,2.295773,1
131,0,2.294105,2.294105,1
132,0,2.293097,2.293097,1
133,0,2.294034,2.294034,1
134,0,2.293787,2.293787,1
135,0,2.295123,2.295123,1
136,0,2.294088,2.294088,1
137,0,2.293222,2.293222,1
138,0,2.29499,2.29499,1
139,0,2.293971,2.293971,1
140,0,2.293098,2.293098,1
141,0,2.293193,2.293193,1
142,0,2.294517,2.294517,1
143,0,2.295287,2.295287,1
144,0,2.295132,2.295132,1
145,0,2.295084,2.295084,1
146,0,2.294939,2.294939,1
147,0,2.29539,2.29539,1
148,0,2.293228,2.293228,1
149,0,2.294457,2.294457,1
150,0,2.293681,2.293681,1
151,0,2.293755,2.293755,1
152,0,2.294813,2.294813,1
153,0,2.294003,2.294003,1
154,0,2.295195,2.295195,1
155,0,2.294586,2.294586,1
156,0,2.295212,2.295212,1
157,0,2.295862,2.295862,1
158,0,2.294524,2.294524,1
159,0,2.294516,2.294516,1
160,0,2.294724,2.294724,1
161,0,2.294637,2.294637,1
162,0,2.29338,2.29338,1
163,0,2.294385,2.294385,1
164,0,2.295376,2.295376,1
165,0,2.294323,2.294323,1
166,0,2.295026,2.295026,1
167,0,2.293757,2.293757,1
168,0,2.295184,2.295184,1
169,0,2.295239,2.295239,1
170,0,2.294892,2.294892,1
171,0,2.293513,2.293513,1
172,0,2.295798,2.295798,1
173,0,2.295424,2.295424,1
174,0,2.294423,2.294423,1
175,0,2.295954,2.295954,1
176,0,2.295048,2.295048,1
177,0,2.295036,2.295036,1
178,0,2.292749,2.292749,1
179,0,2.292883,2.292883,1
180,0,2.295006,2.295006,1
181,0,2.294402,2.294402,1
182,0,2.293735,2.293735,1
183,0,2.295563,2.295563,1
184,0,2.295834,2.295834,1
185,0,2.293939,2.293939,1
186,0,2.293015,2.293015,1
187,0,2.293219,2.293219,1
188,0,2.294952,2.294952,1
189,0,2.295238,2.295238,1
190,0,2.296102,2.296102,1
191,0,2.295119,2.295119,1
192,0,2.293112,2.293112,1
193,0,2.295381,2.295381,1
194,0,2.295629,2.295629,1
195,0,2.295255,2.295255,1
196,0,2.294681,2.294681,1
197,0,2.293241,2.293241,1
198,0,2.295585,2.295585,1
199,0,2.293965,2.293965,1
200,0,2.295351,2.295351,1
201,0,2.295609,2.295609,1
202,0,2.295815,2.295815,1
203,0,2.293513,2.293513,1
204,0,2.294115,2.294115,1
205,0,2.294632,2.294632,1
206,0,2.294981,2.294981,1
207,0,2.296115,2.296115,1
208,0,2.295291,2.295291,1
209,0,2.294336,2.294336,1
210,0,2.294206,2.294206,1
211,0,2.295365,2.295365,1
212,0,2.295752,2.295752,1
213,0,2.293773,2.293773,1
214,0,2.292887,2.292887,1
215,0,2.293455,2.293455,1
216,0,2.295557,2.295557,1
217,0,2.295092,2.295092,1
218,0,2.294302,2.294302,1
219,0,2.293817,2.293817,1
220,0,2.295503,2.295503,1
221,0,2.293315,2.293315,1
222,0,2.295205,2.295205,1
223,0,2.295314,2.295314,1
224,0,2.292869,2.292869,1
225,0,2.292804,2.292804,1
226,0,2.293093,2.293093,1
227,0,2.294007,2.294007,1
228,0,2.295991,2.295991,1
229,0,2.295683,2.295683,1
230,0,2.295599,2.295599,1
231,0,2.294674,2.294674,1
232,0,2.295921,2.295921,1
233,0,2.29544,2.29544,1
234,0,2.295971,2.295971,1
235,0,2.295175,2.295175,1
236,0,2.294033,2.294033,1
237,0,2.296109,2.296109,1
238,0,2.293168,2.293168,1
239,0,2.292832,2.292832,1
240,0,2.293825,2.293825,1
241,0,2.293792,2.293792,1
242,0,2.293839,2.293839,1
243,0,2.295248,2.295248,1
244,0,2.294607,2.294607,1
245,0,2.294985,2.294985,1
246,0,2.293135,2.293135,1
247,0,2.294985,2.294985,1
248,0,2.294327,2.294327,1
249,0,2.294965,2.294965,1
250,0,2.292775,2.292775,1
251,0,2.295519,2.295519,1
252,0,2.294538,2.294538,1
253,0,2.293279,2.293279,1
254,0,2.294329,2.294329,1
255,0,2.293322,2.293322,1
256,0,2.294538,2.294538,1
257,0,2.295469,2.295469,1
258,0,2.295007,2.295007,1
259,0,2.295267,2.295267,1
260,0,2.294993,2.294993,1
261,0,2.293118,2.293118,1
262,0,2.294921,2.294921,1
263,0,2.294635,2.294635,1
264,0,2.295979,2.295979,1
265,0,2.295896,2.295896,1
266,0,2.293428,2.293428,1
267,0,2.294337,2.294337,1
268,0,2.295771,2.295771,1
269,0,2.295737,2.295737,1
270,0,2.293544,2.293544,1
271,0,2.293149,2.293149,1
272,0,2.292894,2.292894,1
273,0,2.295699,2.295699,1
274,0,2.292782,2.292782,1
275,0,2.293234,2.293234,1
276,0,2.294726,2.294726,1
277,0,2.29355,2.29355,1
278,0,2.293041,2.293041,1
279,0,2.295663,2.295663,1
280,0,2.29587,2.29587,1
281,0,2.2928,2.2928,1
282,0,2.294386,2.294386,1
283,0,2.293669,2.293669,1
284,0,2.296114,2.296114,1
285,0,2.294783,2.294783,1
286,0,2.294046,2.294046,1
287,0,2.295797,2.295797,1
288,0,2.29596,2.29596,1
289,0,2.295481,2.295481,1
290,0,2.293531,2.293531,1
291,0,2.296063,2.296063,1
292,0,2.293267,2.293267,1
293,0,2.295493,2.295493,1
294,0,2.293598,2.293598,1
295,0,2.294271,2.294271,1
296,0,2.293912,2.293912,1
297,0,2.294456,2.294456,1
298,0,2.295825,2.295825,1
299,0,2.295796,2.295796,1
300,0,2.293793,2.293793,1
301,0,2.294629,2.294629,1
302,0,2.294693,2.294693,1
303,0,2.294329,2.294329,1
304,0,2.294795,2.294795,1
305,0,2.295117,2.295117,1
306,0,2.294865,2.294865,1
307,0,2.293971,2.293971,1
308,0,2.295025,2.295025,1
309,0,2.293712,2.293712,1
310,0,2.294378,2.294378,1
311,0,2.294731,2.294731,1
312,0,2.295095,2.295095,1
313,0,2.293626,2.293626,1
314,0,2.296032,2.296032,1
315,0,2.295847,2.295847,1
316,0,2.293928,2.293928,1
317,0,2.293616,2.293616,1
318,0,2.292819,2.292819,1
319,0,2.295176,2.295176,1
320,0,2.296063,2.296063,1
321,0,2.293355,2.293355,1
322,0,2.295859,2.295859,1
323,0,2.295204,2.295204,1
324,0,2.294915,2.294915,1
325,0,2.295705,2.295705,1
326,0,2.292976,2.292976,1
327,0,2.29399,2.29399,1
328,0,2.29278,2.29278,1
329,0,2.294043,2.294043,1
330,0,2.293416,2.293416,1
331,0,2.296036,2.296036,1
332,0,2.294727,2.294727,1
333,2.29277,2.29277,0,1
334,2.294962,2.294962,0,1
335,2.295891,2.295891,0,1
336,2.294187,2.294187,0,1
337,2.294824,2.294824,0,1
338,2.295644,2.295644,0,1
339,2.295368,2.295368,0,1
340,2.295688,2.295688,0,1
341,2.29449,2.29449,0,1
342,2.294673,2.294673,0,1
343,2.295515,2.295515,0,1
344,2.295444,2.295444,0,1
345,2.295308,2.295308,0,1
346,2.293329,2.293329,0,1
347,2.295971,2.295971,0,1
348,2.295482,2.295482,0,1
349,2.29525,2.29525,0,1
350,2.293745,2.293745,0,1
351,2.293202,2.293202,0,1
352,2.294759,2.294759,0,1
353,2.293839,2.293839,0,1
354,2.295083,2.295083,0,1
355,2.294074,2.294074,0,1
356,2.294721,2.294721,0,1
357,2.296034,2.296034,0,1
358,2.295272,2.295272,0,1
359,2.295943,2.295943,0,1
360,2.296025,2.296025,0,1
361,2.29529,2.29529,0,1
362,2.294302,2.294302,0,1
363,2.295794,2.295794,0,1
364,2.294754,2.294754,0,1
365,2.295467,2.295467,0,1
366,2.295822,2.295822,0,1
367,2.29292,2.29292,0,1
368,2.294278,2.294278,0,1
369,2.29557,2.29557,0,1
370,2.295558,2.295558,0,1
371,2.292951,2.292951,0,1
372,2.294079,2.294079,0,1
373,2.292931,2.292931,0,1
374,2.293681,2.293681,0,1
375,2.294635,2.294635,0,1
376,2.296049,2.296049,0,1
377,2.295771,2.295771,0,1
378,2.295631,2.295631,0,1
379,2.293629,2.293629,0,1
380,2.292891,2.292891,0,1
381,2.295671,2.295671,0,1
382,2.293504,2.293504,0,1
383,2.292951,2.292951,0,1
384,2.294307,2.294307,0,1
385,2.294409,2.294409,0,1
386,2.293851,2.293851,0,1
387,2.2946,2.2946,0,1
388,2.293256,2.293256,0,1
389,2.294793,2.294793,0,1
390,2.295637,2.295637,0,1
391,2.295046,2.295046,0,1
392,2.293051,2.293051,0,1
393,2.294814,2.294814,0,1
394,2.295427,2.295427,0,1
395,2.294905,2.294905,0,1
396,2.293189,2.293189,0,1
397,2.292934,2.292934,0,1
398,2.296012,2.296012,0,1
399,2.296103,2.296103,0,1
400,2.292965,2.292965,0,1
401,2.294615,2.294615,0,1
402,2.292859,2.292859,0,1
403,2.293017,2.293017,0,1
404,2.293166,2.293166,0,1
405,2.293826,2.293826,0,1
406,2.29562,2.29562,0,1
407,2.294465,2.294465,0,1
408,2.293811,2.293811,0,1
409,2.296007,2.296007,0,1
410,2.294964,2.294964,0,1
411,2.295903,2.295903,0,1
412,2.294151,2.294151,0,1
413,2.294514,2.294514,0,1
414,2.295595,2.295595,0,1
415,2.294882,2.294882,0,1
416,2.293926,2.293926,0,1
417,2.294559,2.294559,0,1
418,2.296117,2.296117,0,1
419,2.293129,2.293129,0,1
420,2.294774,2.294774,0,1
421,2.295124,2.295124,0,1
422,2.293188,2.293188,0,1
423,2.292973,2.292973,0,1
424,2.29494,2.29494,0,1
425,2.294333,2.294333,0,1
426,2.295225,2.295225,0,1
427,2.295305,2.295305,0,1
428,2.294743,2.294743,0,1
429,2.294516,2.294516,0,1
430,2.295536,2.295536,0,1
431,2.293263,2.293263,0,1
432,2.294851,2.294851,0,1
433,2.295847,2.295847,0,1
434,2.294075,2.294075,0,1
435,2.294932,2.294932,0,1
436,2.293825,2.293825,0,1
437,2.294929,2.294929,0,1
438,2.293658,2.293658,0,1
439,2.293641,2.293641,0,1
440,2.294294,2.294294,0,1
441,2.295063,2.295063,0,1
442,2.294656,2.294656,0,1
443,2.294531,2.294531,0,1
444,2.294662,2.294662,0,1
445,2.29471,2.29471,0,1
446,2.29448,2.29448,0,1
447,2.295835,2.295835,0,1
448,2.294445,2.294445,0,1
449,2.295754,2.295754,0,1
450,2.294788,2.294788,0,1
451,2.295446,2.295446,0,1
452,2.295638,2.295638,0,1
453,2.295149,2.295149,0,1
454,2.294881,2.294881,0,1
455,2.294713,2.294713,0,1
456,2.296072,2.296072,0,1
457,2.294132,2.294132,0,1
458,2.293772,2.293772,0,1
459,2.294294,2.294294,0,1
460,2.295236,2.295236,0,1
461,2.295718,2.295718,0,1
462,2.295445,2.295445,0,1
463,2.295485,2.295485,0,1
464,2.293472,2.293472,0,1
465,2.295256,2.295256,0,1
466,2.293081,2.293081,0,1
467,2.293047,2.293047,0,1
468,2.295648,2.295648,0,1
469,2.294553,2.294553,0,1
470,2.295621,2.295621,0,1
471,2.29585,2.29585,0,1
472,2.295168,2.295168,0,1
473,2.292896,2.292896,0,1
474,2.294741,2.294741,0,1
475,2.295,2.295,0,1
476,2.295305,2.295305,0,1
477,2.295731,2.295731,0,1
478,2.294859,2.294859,0,1
479,2.295356,2.295356,0,1
480,2.294957,2.294957,0,1
481,2.295491,2.295491,0,1
482,2.294073,2.294073,0,1
483,2.295152,2.295152,0,1
484,2.29448,2.29448,0,1
485,2.295729,2.295729,0,1
486,2.295564,2.295564,0,1
487,2.294899,2.294899,0,1
488,2.2944,2.2944,0,1
489,2.29583,2.29583,0,1
490,2.29582,2.29582,0,1
491,2.295812,2.295812,0,1
492,2.295297,2.295297,0,1
493,2.295839,2.295839,0,1
494,2.295556,2.295556,0,1
495,2.29346,2.29346,0,1
496,2.295308,2.295308,0,1
497,2.29573,2.29573,0,1
498,2.292884,2.292884,0,1
499,2.296127,2.296127,0,1
500,2.29507,2.29507,0,1
501,2.29472,2.29472,0,1
502,2.295158,2.295158,0,1
503,2.292852,2.292852,0,1
504,2.293931,2.293931,0,1
505,2.293745,2.293745,0,1
506,2.294153,2.294153,0,1
507,2.294914,2.294914,0,1
508,2.294935,2.294935,0,1
509,2.293426,2.293426,0,1
510,2.293866,2.293866,0,1
511,2.295692,2.295692,0,1
512,2.296104,2.296104,0,1
513,2.292746,2.292746,0,1
514,2.293239,2.293239,0,1
515,2.293847,2.293847,0,1
516,2.295218,2.295218,0,1
517,2.295561,2.295561,0,1
518,2.294804,2.294804,0,1
519,2.294352,2.294352,0,1
520,2.292909,2.292909,0,1
521,2.295581,2.295581,0,1
522,2.293967,2.293967,0,1
523,2.294658,2.294658,0,1
524,2.29523,2.29523,0,1
525,2.296105,2.296105,0,1
526,2.294731,2.294731,0,1
527,2.293517,2.293517,0,1
528,2.295589,2.295589,0,1
529,2.293556,2.293556,0,1
530,2.293204,2.293204,0,1
531,2.293946,2.293946,0,1
532,2.294285,2.294285,0,1
533,2.295748,2.295748,0,1
534,2.295925,2.295925,0,1
535,2.294262,2.294262,0,1
536,2.295047,2.295047,0,1
537,2.293077,2.293077,0,1
538,2.294008,2.294008,0,1
539,2.294576,2.294576,0,1
540,2.294579,2.294579,0,1
541,2.295639,2.295639,0,1
542,2.293429,2.293429,0,1
543,2.295669,2.295669,0,1
544,2.295047,2.295047,0,1
545,2.295055,2.295055,0,1
546,2.295786,2.295786,0,1
547,2.295377,2.295377,0,1
548,2.292897,2.292897,0,1
549,2.293589,2.293589,0,1
550,2.293713,2.293713,0,1
551,2.295712,2.295712,0,1
552,2.295756,2.295756,0,1
553,2.292984,2.292984,0,1
554,2.294407,2.294407,0,1
555,2.293079,2.293079,0,1
556,2.294591,2.294591,0,1
557,2.293922,2.293922,0,1
558,2.295063,2.295063,0,1
559,2.294394,2.294394,0,1
560,2.2946,2.2946,0,1
561,2.29457,2.29457,0,1
562,2.295486,2.295486,0,1
