test_data,I_a,I_b,I_c,Fault_Type
1,0,2.730875,2.728212,3
2,0,2.728621,2.721643,3
3,0,2.729928,2.725288,3
4,0,2.727546,2.718875,3
5,0,2.730625,2.727411,3
6,0,2.730536,2.727131,3
7,0,2.728154,2.720418,3
8,0,2.72834,2.720902,3
9,0,2.72836,2.720955,3
10,0,2.730593,2.727309,3
11,0,2.728477,2.72126,3
12,0,2.728283,2.720753,3
13,0,2.729965,2.725396,3
14,0,2.731651,2.730887,3
15,0,2.72985,2.725059,3
16,0,2.731452,2.730168,3
17,0,2.727465,2.718672,3
18,0,2.731017,2.72868,3
19,0,2.729786,2.724874,3
20,0,2.73044,2.726829,3
21,0,2.731378,2.729907,3
22,0,2.727444,2.718619,3
23,0,2.728669,2.721769,3
24,0,2.728528,2.721397,3
25,0,2.730016,2.725549,3
26,0,2.729774,2.724839,3
27,0,2.730702,2.727655,3
28,0,2.731475,2.730253,3
29,0,2.729592,2.724314,3
30,0,2.729266,2.723397,3
31,0,2.731293,2.729613,3
32,0,2.731045,2.72877,3
33,0,2.730362,2.726591,3
34,0,2.730306,2.726419,3
35,0,2.727865,2.719677,3
36,0,2.731638,2.730839,3
37,0,2.728699,2.72185,3
38,0,2.731566,2.730577,3
39,0,2.731391,2.729953,3
40,0,2.72764,2.719109,3
41,0,2.728083,2.720237,3
42,0,2.729678,2.72456,3
43,0,2.731504,2.730355,3
44,0,2.728802,2.722126,3
45,0,2.728054,2.720161,3
46,0,2.727066,2.717689,3
47,0,2.730825,2.728048,3
48,0,2.730939,2.728422,3
49,0,2.728509,2.721345,3
50,0,2.730299,2.726397,3
51,0,2.72786,2.719664,3
52,0,2.72981,2.724944,3
53,0,2.727618,2.719056,3
54,0,2.731222,2.729369,3
55,0,2.731146,2.729112,3
56,0,2.731573,2.730605,3
57,0,2.730248,2.726243,3
58,0,2.731579,2.730626,3
59,0,2.729018,2.722713,3
60,0,2.726805,2.717057,3
61,0,2.729138,2.723042,3
62,0,2.731632,2.730818,3
63,0,2.72758,2.718959,3
64,0,2.731057,2.728811,3
65,0,2.731247,2.729454,3
66,0,2.73064,2.727457,3
67,0,2.729523,2.724119,3
68,0,2.731444,2.73014,3
69,0,2.730013,2.725538,3
70,0,2.727613,2.719042,3
71,0,2.729147,2.723067,3
72,0,2.728405,2.721073,3
73,0,2.72919,2.723186,3
74,0,2.72949,2.724025,3
75,0,2.730939,2.72842,3
76,0,2.727898,2.719761,3
77,0,2.729054,2.72281,3
78,0,2.730362,2.72659,3
79,0,2.729034,2.722756,3
80,0,2.729919,2.725262,3
81,0,2.730485,2.72697,3
82,0,2.729347,2.723623,3
83,0,2.729375,2.7237,3
84,0,2.731013,2.728664,3
85,0,2.727964,2.719931,3
86,0,2.730382,2.726651,3
87,0,2.731537,2.730472,3
88,0,2.728133,2.720364,3
89,0,2.72827,2.72072,3
90,0,2.727147,2.717886,3
91,0,2.730488,2.726981,3
92,0,2.728232,2.720622,3
93,0,2.727327,2.71833,3
94,0,2.729604,2.72435,3
95,0,2.730854,2.728143,3
96,0,2.730674,2.727563,3
97,0,2.729516,2.724099,3
98,0,2.730361,2.726586,3
99,0,2.730176,2.726025,3
100,0,2.727646,2.719124,3
101,0,2.73132,2.729706,3
102,0,2.729899,2.725203,3
103,0,2.730472,2.72693,3
104,0,2.729025,2.722732,3
105,0,2.731122,2.729028,3
106,0,2.728521,2.721377,3
107,0,2.73143,2.730091,3
108,0,2.730154,2.725958,3
109,0,2.727498,2.718755,3
110,0,2.727033,2.717609,3
111,0,2.73107,2.728856,3
112,0,2.728503,2.72133,3
113,0,2.730294,2.726382,3
114,0,2.731339,2.729774,3
115,0,2.726809,2.717066,3
116,0,2.728027,2.720093,3
117,0,2.727322,2.718318,3
118,0,2.729517,2.7241,3
119,0,2.729825,2.724986,3
120,0,2.729429,2.723852,3
121,0,2.729832,2.725006,3
122,0,2.72776,2.719411,3
123,0,2.731568,2.730584,3
124,0,2.72914,2.723046,3
125,0,2.729337,2.723593,3
126,0,2.728879,2.722334,3
127,0,2.730164,2.725988,3
128,0,2.73129,2.729602,3
129,0,2.727045,2.717637,3
130,0,2.731207,2.729317,3
131,0,2.729901,2.725209,3
132,0,2.73015,2.725948,3
133,0,2.729655,2.724496,3
134,0,2.728625,2.721654,3
135,0,2.731373,2.729891,3
136,0,2.729084,2.722892,3
137,0,2.731535,2.730468,3
138,0,2.729081,2.722884,3
139,0,2.730674,2.727565,3
140,0,2.728196,2.720528,3
141,0,2.727544,2.71887,3
142,0,2.728486,2.721284,3
143,0,2.729662,2.724516,3
144,0,2.727166,2.717933,3
145,0,2.727612,2.719039,3
146,0,2.72907,2.722856,3
147,0,2.72834,2.720901,3
148,0,2.727016,2.717567,3
149,0,2.731014,2.728669,3
150,0,2.729397,2.723761,3
151,0,2.727034,2.71761,3
152,0,2.731394,2.729964,3
153,0,2.729665,2.724523,3
154,0,2.729776,2.724843,3
155,0,2.730549,2.72717,3
156,0,2.729062,2.722833,3
157,0,2.731281,2.729572,3
158,0,2.729802,2.72492,3
159,0,2.730924,2.728372,3
160,0,2.729329,2.723572,3
161,0,2.72818,2.720485,3
162,0,2.729701,2.724627,3
163,0,2.73065,2.727488,3
164,0,2.73026,2.726279,3
165,0,2.731588,2.730657,3
166,0,2.726881,2.71724,3
167,0,2.730624,2.727405,3
168,0,2.728375,2.720994,3
169,0,2.730766,2.727858,3
170,0,2.730045,2.725634,3
171,0,2.729967,2.725403,3
172,0,2.728915,2.722431,3
173,0,2.727314,2.718298,3
174,0,2.730846,2.728116,3
175,0,2.728368,2.720975,3
176,0,2.73066,2.727519,3
177,0,2.729701,2.724626,3
178,0,2.730366,2.726603,3
179,0,2.72782,2.719564,3
180,0,2.72839,2.721032,3
181,0,2.728046,2.720141,3
182,0,2.727957,2.719913,3
183,0,2.730841,2.728099,3
184,0,2.731551,2.730525,3
185,0,2.728274,2.720729,3
186,0,2.727801,2.719516,3
187,0,2.729309,2.723517,3
188,0,2.726827,2.71711,3
189,0,2.731383,2.729927,3
190,0,2.731124,2.729036,3
191,0,2.729652,2.724486,3
192,0,2.728107,2.720297,3
193,0,2.728708,2.721875,3
194,0,2.730612,2.727367,3
195,0,2.72888,2.722336,3
196,0,2.731124,2.729038,3
197,0,2.727574,2.718943,3
198,0,2.729785,2.72487,3
199,0,2.731557,2.730546,3
200,0,2.729251,2.723355,3
201,0,2.727132,2.717851,3
202,0,2.730277,2.72633,3
203,0,2.729211,2.723243,3
204,0,2.730181,2.726041,3
205,0,2.728334,2.720887,3
206,0,2.730605,2.727347,3
207,0,2.729238,2.723319,3
208,0,2.731619,2.730772,3
209,0,2.726903,2.717291,3
210,0,2.730872,2.728201,3
211,0,2.727929,2.719841,3
212,0,2.727655,2.719147,3
213,0,2.731111,2.728993,3
214,0,2.730709,2.727676,3
215,0,2.731097,2.728944,3
216,0,2.729352,2.723635,3
217,0,2.729969,2.725407,3
218,0,2.728896,2.722382,3
219,0,2.731519,2.730407,3
220,0,2.72732,2.718313,3
221,0,2.726854,2.717174,3
222,0,2.728677,2.721791,3
223,0,2.727936,2.719858,3
224,0,2.729518,2.724103,3
225,0,2.727843,2.719623,3
226,0,2.730157,2.725967,3
227,0,2.731602,2.730707,3
228,0,2.727293,2.718247,3
229,0,2.72723,2.71809,3
230,0,2.727085,2.717736,3
231,0,2.731481,2.730273,3
232,0,2.72988,2.725146,3
233,0,2.731285,2.729584,3
234,0,2.730536,2.727129,3
235,0,2.729532,2.724144,3
236,0,2.730302,2.726406,3
237,0,2.728894,2.722375,3
238,0,2.729634,2.724435,3
239,0,2.72912,2.722991,3
240,0,2.730979,2.728553,3
241,0,2.731491,2.730309,3
242,0,2.731549,2.730517,3
243,0,2.730088,2.72576,3
244,0,2.728573,2.721515,3
245,0,2.7308,2.727968,3
246,0,2.731288,2.729595,3
247,0,2.726833,2.717123,3
248,0,2.727335,2.71835,3
249,0,2.730528,2.727103,3
250,0,2.726938,2.717377,3
251,0,2.731123,2.729031,3
252,0,2.729461,2.723942,3
253,0,2.730813,2.72801,3
254,0,2.731039,2.728751,3
255,0,2.729643,2.724461,3
256,0,2.72842,2.721112,3
257,0,2.730866,2.72818,3
258,0,2.728324,2.72086,3
259,0,2.731218,2.729357,3
260,0,2.729913,2.725242,3
261,0,2.72769,2.719236,3
262,0,2.731073,2.728864,3
263,0,2.729894,2.725187,3
264,0,2.727301,2.718266,3
265,0,2.729194,2.723197,3
266,0,2.731183,2.729236,3
267,0,2.730779,2.727899,3
268,0,2.729136,2.723036,3
269,0,2.728334,2.720886,3
270,0,2.730839,2.728096,3
271,0,2.729334,2.723585,3
272,0,2.730466,2.72691,3
273,0,2.731421,2.730059,3
274,0,2.727984,2.719982,3
275,0,2.728568,2.721501,3
276,0,2.727951,2.719898,3
277,0,2.729311,2.72352,3
278,0,2.729055,2.722814,3
279,0,2.731011,2.72866,3
280,0,2.727182,2.717973,3
281,0,2.731432,2.730099,3
282,0,2.73046,2.726893,3
283,0,2.731456,2.730183,3
284,0,2.731069,2.728851,3
285,0,2.726808,2.717064,3
286,0,2.729118,2.722985,3
287,0,2.731069,2.728851,3
288,0,2.727712,2.71929,3
289,0,2.730043,2.725628,3
290,0,2.728744,2.72197,3
291,0,2.727871,2.719693,3
292,0,2.726944,2.717392,3
293,0,2.729866,2.725104,3
294,0,2.728664,2.721758,3
295,0,2.729787,2.724874,3
296,0,2.730774,2.727885,3
297,0,2.727813,2.719546,3
298,0,2.727763,2.719419,3
299,0,2.731156,2.729144,3
300,0,2.73056,2.727205,3
301,0,2.731318,2.729699,3
302,0,2.729327,2.723565,3
303,0,2.729565,2.724238,3
304,0,2.726925,2.717345,3
305,0,2.730511,2.727051,3
306,0,2.729884,2.725159,3
307,0,2.730812,2.728008,3
308,0,2.727962,2.719925,3
309,0,2.731354,2.729824,3
310,0,2.729691,2.724597,3
311,0,2.731303,2.729647,3
312,0,2.729312,2.723525,3
313,0,2.729823,2.724979,3
314,0,2.728227,2.720607,3
315,0,2.731533,2.73046,3
316,0,2.727056,2.717664,3
317,0,2.731323,2.729715,3
318,0,2.729537,2.724158,3
319,0,2.729667,2.724529,3
320,0,2.731527,2.730439,3
321,0,2.726809,2.717065,3
322,0,2.731238,2.729424,3
323,0,2.729606,2.724355,3
324,0,2.730354,2.726567,3
325,0,2.728954,2.722539,3
326,0,2.729201,2.723216,3
327,0,2.729574,2.724263,3
328,0,2.728409,2.721082,3
329,0,2.731221,2.729366,3
330,0,2.73089,2.728259,3
331,0,2.730597,2.727322,3
332,0,2.729039,2.722769,3
333,0,2.729956,2.72537,3
334,2.728508,2.721343,0,3
335,2.729539,2.724165,0,3
336,2.729237,2.723314,0,3
337,2.730837,2.728086,0,3
338,2.730195,2.726081,0,3
339,2.730543,2.727151,0,3
340,2.731478,2.730264,0,3
341,2.729134,2.72303,0,3
342,2.729601,2.72434,0,3
343,2.731423,2.730066,0,3
344,2.729254,2.723364,0,3
345,2.730706,2.727665,0,3
346,2.726882,2.717242,0,3
347,2.730764,2.727852,0,3
348,2.726947,2.7174,0,3
349,2.729754,2.724778,0,3
350,2.730464,2.726904,0,3
351,2.727332,2.718343,0,3
352,2.731338,2.72977,0,3
353,2.729864,2.725099,0,3
354,2.731082,2.728896,0,3
355,2.72779,2.719487,0,3
356,2.727683,2.719217,0,3
357,2.728956,2.722544,0,3
358,2.730044,2.725631,0,3
359,2.727671,2.719188,0,3
360,2.731422,2.730063,0,3
361,2.727828,2.719583,0,3
362,2.730848,2.728124,0,3
363,2.728419,2.721109,0,3
364,2.727715,2.719298,0,3
365,2.729363,2.723666,0,3
366,2.727866,2.71968,0,3
367,2.730221,2.72616,0,3
368,2.731408,2.730012,0,3
369,2.728282,2.720749,0,3
370,2.729798,2.724908,0,3
371,2.729715,2.724667,0,3
372,2.730565,2.727221,0,3
373,2.731529,2.730445,0,3
374,2.727547,2.718878,0,3
375,2.731108,2.728984,0,3
376,2.728802,2.722127,0,3
377,2.730378,2.726638,0,3
378,2.729687,2.724586,0,3
379,2.729682,2.724573,0,3
380,2.72814,2.720381,0,3
381,2.730439,2.726828,0,3
382,2.728434,2.721147,0,3
383,2.731326,2.729728,0,3
384,2.727302,2.718269,0,3
385,2.727509,2.718781,0,3
386,2.729325,2.72356,0,3
387,2.726805,2.717055,0,3
388,2.730792,2.727941,0,3
389,2.731076,2.728874,0,3
390,2.730419,2.726764,0,3
391,2.731593,2.730675,0,3
392,2.730786,2.727921,0,3
393,2.729429,2.723853,0,3
394,2.730595,2.727313,0,3
395,2.730501,2.72702,0,3
396,2.727758,2.719407,0,3
397,2.727193,2.718,0,3
398,2.729358,2.723651,0,3
399,2.729384,2.723724,0,3
400,2.731431,2.730095,0,3
401,2.730101,2.725801,0,3
402,2.729746,2.724757,0,3
403,2.729347,2.723623,0,3
404,2.730456,2.726879,0,3
405,2.727985,2.719985,0,3
406,2.731028,2.728714,0,3
407,2.731132,2.729062,0,3
408,2.728763,2.722022,0,3
409,2.730294,2.726381,0,3
410,2.729474,2.723979,0,3
411,2.72732,2.718313,0,3
412,2.730077,2.725728,0,3
413,2.728942,2.722505,0,3
414,2.727181,2.717969,0,3
415,2.7285,2.721322,0,3
416,2.729195,2.7232,0,3
417,2.731267,2.729523,0,3
418,2.730116,2.725845,0,3
419,2.729714,2.724665,0,3
420,2.726872,2.717217,0,3
421,2.727003,2.717534,0,3
422,2.73046,2.726893,0,3
423,2.73141,2.730021,0,3
424,2.727375,2.718449,0,3
425,2.729089,2.722907,0,3
426,2.731069,2.728852,0,3
427,2.730092,2.725772,0,3
428,2.728832,2.722208,0,3
429,2.728385,2.721019,0,3
430,2.72782,2.719563,0,3
431,2.72849,2.721297,0,3
432,2.728913,2.722427,0,3
433,2.731607,2.730727,0,3
434,2.727139,2.717867,0,3
435,2.731307,2.729661,0,3
436,2.730764,2.727852,0,3
437,2.727816,2.719555,0,3
438,2.730185,2.726051,0,3
439,2.727253,2.718147,0,3
440,2.730718,2.727704,0,3
441,2.729199,2.723209,0,3
442,2.72982,2.724972,0,3
443,2.731096,2.72894,0,3
444,2.729874,2.72513,0,3
445,2.729256,2.723367,0,3
446,2.731163,2.729166,0,3
447,2.728357,2.720947,0,3
448,2.731029,2.72872,0,3
449,2.730917,2.728349,0,3
450,2.727714,2.719296,0,3
451,2.729513,2.724088,0,3
452,2.730601,2.727333,0,3
453,2.731011,2.728658,0,3
454,2.730272,2.726315,0,3
455,2.728901,2.722395,0,3
456,2.728517,2.721366,0,3
457,2.729637,2.724444,0,3
458,2.727236,2.718106,0,3
459,2.730015,2.725544,0,3
460,2.72802,2.720074,0,3
461,2.726897,2.717277,0,3
462,2.729936,2.725309,0,3
463,2.731089,2.728917,0,3
464,2.730035,2.725604,0,3
465,2.728205,2.72055,0,3
466,2.731293,2.729614,0,3
467,2.731287,2.729592,0,3
468,2.729003,2.722671,0,3
469,2.728299,2.720794,0,3
470,2.728617,2.721633,0,3
471,2.726917,2.717328,0,3
472,2.731477,2.730258,0,3
473,2.728216,2.720578,0,3
474,2.728501,2.721324,0,3
475,2.728352,2.720934,0,3
476,2.730915,2.728343,0,3
477,2.731365,2.729862,0,3
478,2.727807,2.719532,0,3
479,2.730516,2.727067,0,3
480,2.728336,2.720891,0,3
481,2.729149,2.723073,0,3
482,2.726909,2.717306,0,3
483,2.731573,2.730605,0,3
484,2.731054,2.728802,0,3
485,2.730758,2.727832,0,3
486,2.729459,2.723938,0,3
487,2.729688,2.72459,0,3
488,2.731181,2.729229,0,3
489,2.731179,2.729223,0,3
490,2.729042,2.722777,0,3
491,2.729388,2.723736,0,3
492,2.730408,2.726732,0,3
493,2.729627,2.724414,0,3
494,2.728881,2.72234,0,3
495,2.730265,2.726295,0,3
496,2.72952,2.72411,0,3
