test_data,I_a,I_b,I_c,Fault_Type
1,2.641502,2.641502,2.641502,0.000000
2,2.644931,2.644931,2.644931,0.000000
3,2.643941,2.643941,2.643941,0.000000
4,2.644670,2.644670,2.644670,0.000000
5,2.644684,2.644684,2.644684,0.000000
6,2.649138,2.649138,2.649138,0.000000
7,2.648961,2.648961,2.648961,0.000000
8,2.645435,2.645435,2.645435,0.000000
9,2.649496,2.649496,2.649496,0.000000
10,2.649225,2.649225,2.649225,0.000000
11,2.647268,2.647268,2.647268,0.000000
12,2.649221,2.649221,2.649221,0.000000
13,2.649444,2.649444,2.649444,0.000000
14,2.646458,2.646458,2.646458,0.000000
15,2.645561,2.645561,2.645561,0.000000
16,2.644327,2.644327,2.644327,0.000000
17,2.645592,2.645592,2.645592,0.000000
18,2.643469,2.643469,2.643469,0.000000
19,2.645774,2.645774,2.645774,0.000000
20,2.642817,2.642817,2.642817,0.000000
21,2.649330,2.649330,2.649330,0.000000
22,2.643194,2.643194,2.643194,0.000000
23,2.648719,2.648719,2.648719,0.000000
24,2.643293,2.643293,2.643293,0.000000
25,2.643651,2.643651,2.643651,0.000000
26,2.649969,2.649969,2.649969,0.000000
27,2.650358,2.650358,2.650358,0.000000
28,2.641608,2.641608,2.641608,0.000000
29,2.641528,2.641528,2.641528,0.000000
30,2.643558,2.643558,2.643558,0.000000
31,2.649309,2.649309,2.649309,0.000000
32,2.646249,2.646249,2.646249,0.000000
33,2.648398,2.648398,2.648398,0.000000
34,2.648354,2.648354,2.648354,0.000000
35,2.644357,2.644357,2.644357,0.000000
36,2.646233,2.646233,2.646233,0.000000
37,2.645035,2.645035,2.645035,0.000000
38,2.647678,2.647678,2.647678,0.000000
39,2.645891,2.645891,2.645891,0.000000
40,2.646842,2.646842,2.646842,0.000000
41,2.643941,2.643941,2.643941,0.000000
42,2.648865,2.648865,2.648865,0.000000
43,2.643747,2.643747,2.643747,0.000000
44,2.645551,2.645551,2.645551,0.000000
45,2.644775,2.644775,2.644775,0.000000
46,2.642080,2.642080,2.642080,0.000000
47,2.644420,2.644420,2.644420,0.000000
48,2.644089,2.644089,2.644089,0.000000
49,2.642952,2.642952,2.642952,0.000000
50,2.643979,2.643979,2.643979,0.000000
51,2.648569,2.648569,2.648569,0.000000
52,2.644550,2.644550,2.644550,0.000000
53,2.644397,2.644397,2.644397,0.000000
54,2.641373,2.641373,2.641373,0.000000
55,2.641871,2.641871,2.641871,0.000000
56,2.645470,2.645470,2.645470,0.000000
57,2.642810,2.642810,2.642810,0.000000
58,2.650199,2.650199,2.650199,0.000000
59,2.646614,2.646614,2.646614,0.000000
60,2.647850,2.647850,2.647850,0.000000
61,2.643287,2.643287,2.643287,0.000000
62,2.645871,2.645871,2.645871,0.000000
63,2.649093,2.649093,2.649093,0.000000
64,2.643218,2.643218,2.643218,0.000000
65,2.644583,2.644583,2.644583,0.000000
66,2.650321,2.650321,2.650321,0.000000
67,2.648100,2.648100,2.648100,0.000000
68,2.645481,2.645481,2.645481,0.000000
69,2.649782,2.649782,2.649782,0.000000
70,2.641306,2.641306,2.641306,0.000000
71,2.644366,2.644366,2.644366,0.000000
72,2.650177,2.650177,2.650177,0.000000
73,2.644463,2.644463,2.644463,0.000000
74,2.641586,2.641586,2.641586,0.000000
75,2.647274,2.647274,2.647274,0.000000
76,2.644864,2.644864,2.644864,0.000000
77,2.649805,2.649805,2.649805,0.000000
78,2.641282,2.641282,2.641282,0.000000
79,2.646958,2.646958,2.646958,0.000000
80,2.647859,2.647859,2.647859,0.000000
81,2.642563,2.642563,2.642563,0.000000
82,2.649886,2.649886,2.649886,0.000000
83,2.647100,2.647100,2.647100,0.000000
84,2.641822,2.641822,2.641822,0.000000
85,2.645204,2.645204,2.645204,0.000000
86,2.643844,2.643844,2.643844,0.000000
87,2.648145,2.648145,2.648145,0.000000
88,2.642497,2.642497,2.642497,0.000000
89,2.641393,2.641393,2.641393,0.000000
90,2.647594,2.647594,2.647594,0.000000
91,2.650364,2.650364,2.650364,0.000000
92,2.646984,2.646984,2.646984,0.000000
93,2.644632,2.644632,2.644632,0.000000
94,2.647317,2.647317,2.647317,0.000000
95,2.642042,2.642042,2.642042,0.000000
96,2.645763,2.645763,2.645763,0.000000
97,2.649630,2.649630,2.649630,0.000000
98,2.649574,2.649574,2.649574,0.000000
99,2.642483,2.642483,2.642483,0.000000
100,2.649529,2.649529,2.649529,0.000000
101,2.648629,2.648629,2.648629,0.000000
102,2.642168,2.642168,2.642168,0.000000
103,2.641783,2.641783,2.641783,0.000000
104,2.645459,2.645459,2.645459,0.000000
105,2.642178,2.642178,2.642178,0.000000
106,2.642857,2.642857,2.642857,0.000000
107,2.645513,2.645513,2.645513,0.000000
108,2.645406,2.645406,2.645406,0.000000
109,2.642740,2.642740,2.642740,0.000000
110,2.648042,2.648042,2.648042,0.000000
111,2.644379,2.644379,2.644379,0.000000
112,2.644183,2.644183,2.644183,0.000000
113,2.643615,2.643615,2.643615,0.000000
114,2.645039,2.645039,2.645039,0.000000
115,2.649545,2.649545,2.649545,0.000000
116,2.641509,2.641509,2.641509,0.000000
117,2.647910,2.647910,2.647910,0.000000
118,2.650003,2.650003,2.650003,0.000000
119,2.643844,2.643844,2.643844,0.000000
120,2.645926,2.645926,2.645926,0.000000
121,2.642636,2.642636,2.642636,0.000000
122,2.646075,2.646075,2.646075,0.000000
123,2.650099,2.650099,2.650099,0.000000
124,2.648759,2.648759,2.648759,0.000000
125,2.649981,2.649981,2.649981,0.000000
126,2.647856,2.647856,2.647856,0.000000
127,2.645182,2.645182,2.645182,0.000000
128,2.643156,2.643156,2.643156,0.000000
129,2.646546,2.646546,2.646546,0.000000
130,2.644810,2.644810,2.644810,0.000000
131,2.647280,2.647280,2.647280,0.000000
132,2.648348,2.648348,2.648348,0.000000
133,2.650009,2.650009,2.650009,0.000000
134,2.649100,2.649100,2.649100,0.000000
135,2.650006,2.650006,2.650006,0.000000
136,2.641639,2.641639,2.641639,0.000000
137,2.649209,2.649209,2.649209,0.000000
138,2.641961,2.641961,2.641961,0.000000
139,2.644701,2.644701,2.644701,0.000000
140,2.641642,2.641642,2.641642,0.000000
141,2.644220,2.644220,2.644220,0.000000
142,2.648419,2.648419,2.648419,0.000000
143,2.650037,2.650037,2.650037,0.000000
144,2.646400,2.646400,2.646400,0.000000
145,2.648500,2.648500,2.648500,0.000000
146,2.650173,2.650173,2.650173,0.000000
147,2.644437,2.644437,2.644437,0.000000
148,2.643824,2.643824,2.643824,0.000000
149,2.649764,2.649764,2.649764,0.000000
150,2.647396,2.647396,2.647396,0.000000
151,2.648782,2.648782,2.648782,0.000000
152,2.645613,2.645613,2.645613,0.000000
153,2.646001,2.646001,2.646001,0.000000
154,2.646828,2.646828,2.646828,0.000000
155,2.650292,2.650292,2.650292,0.000000
156,2.641622,2.641622,2.641622,0.000000
157,2.644420,2.644420,2.644420,0.000000
158,2.641322,2.641322,2.641322,0.000000
159,2.641652,2.641652,2.641652,0.000000
160,2.647916,2.647916,2.647916,0.000000
161,2.647008,2.647008,2.647008,0.000000
162,2.647352,2.647352,2.647352,0.000000
163,2.644555,2.644555,2.644555,0.000000
164,2.649761,2.649761,2.649761,0.000000
165,2.649212,2.649212,2.649212,0.000000
166,2.650354,2.650354,2.650354,0.000000
167,2.644429,2.644429,2.644429,0.000000
168,2.641362,2.641362,2.641362,0.000000
