test_data,I_a,I_b,I_c,Fault_Type
1,0.000000,2.295655,2.295655,1.000000
2,0.000000,2.295459,2.295459,1.000000
3,0.000000,2.296040,2.296040,1.000000
4,0.000000,2.294760,2.294760,1.000000
5,0.000000,2.295371,2.295371,1.000000
6,0.000000,2.295783,2.295783,1.000000
7,0.000000,2.292997,2.292997,1.000000
8,0.000000,2.293545,2.293545,1.000000
9,0.000000,2.294163,2.294163,1.000000
10,0.000000,2.293819,2.293819,1.000000
11,0.000000,2.293700,2.293700,1.000000
12,0.000000,2.292929,2.292929,1.000000
13,0.000000,2.295827,2.295827,1.000000
14,0.000000,2.295325,2.295325,1.000000
15,0.000000,2.293751,2.293751,1.000000
16,0.000000,2.295560,2.295560,1.000000
17,0.000000,2.292801,2.292801,1.000000
18,0.000000,2.293395,2.293395,1.000000
19,0.000000,2.294186,2.294186,1.000000
20,0.000000,2.295964,2.295964,1.000000
21,0.000000,2.293961,2.293961,1.000000
22,0.000000,2.293424,2.293424,1.000000
23,0.000000,2.295755,2.295755,1.000000
24,0.000000,2.293471,2.293471,1.000000
25,0.000000,2.293819,2.293819,1.000000
26,0.000000,2.293933,2.293933,1.000000
27,0.000000,2.295273,2.295273,1.000000
28,0.000000,2.293410,2.293410,1.000000
29,0.000000,2.292829,2.292829,1.000000
30,0.000000,2.295712,2.295712,1.000000
31,0.000000,2.292958,2.292958,1.000000
32,0.000000,2.292990,2.292990,1.000000
33,0.000000,2.296044,2.296044,1.000000
34,0.000000,2.294069,2.294069,1.000000
35,0.000000,2.293801,2.293801,1.000000
36,0.000000,2.293489,2.293489,1.000000
37,0.000000,2.293256,2.293256,1.000000
38,0.000000,2.294991,2.294991,1.000000
39,0.000000,2.294150,2.294150,1.000000
40,0.000000,2.294927,2.294927,1.000000
41,0.000000,2.295761,2.295761,1.000000
42,0.000000,2.294172,2.294172,1.000000
43,0.000000,2.295180,2.295180,1.000000
44,0.000000,2.295049,2.295049,1.000000
45,0.000000,2.295552,2.295552,1.000000
46,0.000000,2.295588,2.295588,1.000000
47,0.000000,2.295896,2.295896,1.000000
48,0.000000,2.295576,2.295576,1.000000
49,0.000000,2.293190,2.293190,1.000000
50,0.000000,2.292948,2.292948,1.000000
51,0.000000,2.295205,2.295205,1.000000
52,0.000000,2.295515,2.295515,1.000000
53,0.000000,2.295597,2.295597,1.000000
54,0.000000,2.293970,2.293970,1.000000
55,0.000000,2.292980,2.292980,1.000000
56,0.000000,2.293621,2.293621,1.000000
57,0.000000,2.293285,2.293285,1.000000
58,0.000000,2.293121,2.293121,1.000000
59,0.000000,2.293147,2.293147,1.000000
60,0.000000,2.293739,2.293739,1.000000
61,0.000000,2.295080,2.295080,1.000000
62,0.000000,2.294908,2.294908,1.000000
63,0.000000,2.293662,2.293662,1.000000
64,0.000000,2.294852,2.294852,1.000000
65,0.000000,2.294182,2.294182,1.000000
66,0.000000,2.293540,2.293540,1.000000
67,0.000000,2.293809,2.293809,1.000000
68,0.000000,2.293094,2.293094,1.000000
69,0.000000,2.294008,2.294008,1.000000
70,0.000000,2.293142,2.293142,1.000000
71,0.000000,2.292989,2.292989,1.000000
72,0.000000,2.295860,2.295860,1.000000
73,0.000000,2.295682,2.295682,1.000000
74,0.000000,2.293377,2.293377,1.000000
75,0.000000,2.295701,2.295701,1.000000
76,0.000000,2.294349,2.294349,1.000000
77,0.000000,2.294613,2.294613,1.000000
78,0.000000,2.295584,2.295584,1.000000
79,0.000000,2.294597,2.294597,1.000000
80,0.000000,2.292934,2.292934,1.000000
81,0.000000,2.293801,2.293801,1.000000
82,0.000000,2.294405,2.294405,1.000000
83,0.000000,2.294067,2.294067,1.000000
84,0.000000,2.294329,2.294329,1.000000
85,0.000000,2.293803,2.293803,1.000000
86,0.000000,2.293814,2.293814,1.000000
87,0.000000,2.293357,2.293357,1.000000
88,0.000000,2.293336,2.293336,1.000000
89,0.000000,2.295031,2.295031,1.000000
90,0.000000,2.293851,2.293851,1.000000
91,0.000000,2.295612,2.295612,1.000000
92,0.000000,2.293774,2.293774,1.000000
93,0.000000,2.294468,2.294468,1.000000
94,0.000000,2.294339,2.294339,1.000000
95,0.000000,2.296021,2.296021,1.000000
96,0.000000,2.295801,2.295801,1.000000
97,0.000000,2.295641,2.295641,1.000000
98,0.000000,2.294964,2.294964,1.000000
99,0.000000,2.294566,2.294566,1.000000
100,0.000000,2.294845,2.294845,1.000000
101,0.000000,2.294925,2.294925,1.000000
102,0.000000,2.296091,2.296091,1.000000
103,0.000000,2.293749,2.293749,1.000000
104,0.000000,2.296081,2.296081,1.000000
105,0.000000,2.293446,2.293446,1.000000
106,0.000000,2.293978,2.293978,1.000000
107,0.000000,2.293146,2.293146,1.000000
108,0.000000,2.294845,2.294845,1.000000
109,0.000000,2.294363,2.294363,1.000000
110,0.000000,2.294515,2.294515,1.000000
111,0.000000,2.292831,2.292831,1.000000
112,0.000000,2.294423,2.294423,1.000000
113,0.000000,2.295144,2.295144,1.000000
114,0.000000,2.294257,2.294257,1.000000
115,0.000000,2.294819,2.294819,1.000000
116,0.000000,2.295777,2.295777,1.000000
117,0.000000,2.295412,2.295412,1.000000
118,0.000000,2.293151,2.293151,1.000000
119,0.000000,2.295412,2.295412,1.000000
120,0.000000,2.295815,2.295815,1.000000
121,0.000000,2.293468,2.293468,1.000000
122,0.000000,2.292925,2.292925,1.000000
123,0.000000,2.294891,2.294891,1.000000
124,0.000000,2.295733,2.295733,1.000000
125,0.000000,2.293891,2.293891,1.000000
126,0.000000,2.295471,2.295471,1.000000
127,0.000000,2.296027,2.296027,1.000000
128,0.000000,2.294554,2.294554,1.000000
129,0.000000,2.295180,2.295180,1.000000
130,0.000000,2.295773,2.295773,1.000000
131,0.000000,2.294105,2.294105,1.000000
132,0.000000,2.293097,2.293097,1.000000
133,0.000000,2.294034,2.294034,1.000000
134,0.000000,2.293787,2.293787,1.000000
135,0.000000,2.295123,2.295123,1.000000
136,0.000000,2.294088,2.294088,1.000000
137,0.000000,2.293222,2.293222,1.000000
138,0.000000,2.294990,2.294990,1.000000
139,0.000000,2.293971,2.293971,1.000000
140,0.000000,2.293098,2.293098,1.000000
141,0.000000,2.293193,2.293193,1.000000
142,0.000000,2.294517,2.294517,1.000000
143,0.000000,2.295287,2.295287,1.000000
144,0.000000,2.295132,2.295132,1.000000
145,0.000000,2.295084,2.295084,1.000000
146,0.000000,2.294939,2.294939,1.000000
147,0.000000,2.295390,2.295390,1.000000
148,0.000000,2.293228,2.293228,1.000000
149,0.000000,2.294457,2.294457,1.000000
150,0.000000,2.293681,2.293681,1.000000
151,0.000000,2.293755,2.293755,1.000000
152,0.000000,2.294813,2.294813,1.000000
153,0.000000,2.294003,2.294003,1.000000
154,0.000000,2.295195,2.295195,1.000000
155,0.000000,2.294586,2.294586,1.000000
156,0.000000,2.295212,2.295212,1.000000
157,0.000000,2.295862,2.295862,1.000000
158,0.000000,2.294524,2.294524,1.000000
159,0.000000,2.294516,2.294516,1.000000
160,0.000000,2.294724,2.294724,1.000000
161,0.000000,2.294637,2.294637,1.000000
162,0.000000,2.293380,2.293380,1.000000
163,0.000000,2.294385,2.294385,1.000000
164,0.000000,2.295376,2.295376,1.000000
165,0.000000,2.294323,2.294323,1.000000
166,0.000000,2.295026,2.295026,1.000000
167,0.000000,2.293757,2.293757,1.000000
168,0.000000,2.295184,2.295184,1.000000
