test_data,I_a,I_b,I_c,Fault_Type
1,0.000000,2.729132,2.723024,3.000000
2,0.000000,2.731081,2.728892,3.000000
3,0.000000,2.731335,2.729759,3.000000
4,0.000000,2.727654,2.719144,3.000000
5,0.000000,2.727162,2.717923,3.000000
6,0.000000,2.731475,2.730252,3.000000
7,0.000000,2.727739,2.719360,3.000000
8,0.000000,2.731496,2.730327,3.000000
9,0.000000,2.729602,2.724344,3.000000
10,0.000000,2.728949,2.722524,3.000000
11,0.000000,2.727668,2.719180,3.000000
12,0.000000,2.727578,2.718954,3.000000
13,0.000000,2.727919,2.719815,3.000000
14,0.000000,2.727359,2.718408,3.000000
15,0.000000,2.728550,2.721454,3.000000
16,0.000000,2.730190,2.726067,3.000000
17,0.000000,2.730743,2.727783,3.000000
18,0.000000,2.730423,2.726778,3.000000
19,0.000000,2.727498,2.718753,3.000000
20,0.000000,2.728997,2.722656,3.000000
21,0.000000,2.729870,2.725118,3.000000
22,0.000000,2.727098,2.717767,3.000000
23,0.000000,2.729716,2.724669,3.000000
24,0.000000,2.730040,2.725620,3.000000
25,0.000000,2.727508,2.718778,3.000000
26,0.000000,2.729347,2.723621,3.000000
27,0.000000,2.729942,2.725327,3.000000
28,0.000000,2.728676,2.721789,3.000000
29,0.000000,2.730085,2.725752,3.000000
30,0.000000,2.728398,2.721055,3.000000
31,0.000000,2.730389,2.726673,3.000000
32,0.000000,2.730111,2.725830,3.000000
33,0.000000,2.728564,2.721492,3.000000
34,0.000000,2.728347,2.720920,3.000000
35,0.000000,2.730373,2.726624,3.000000
36,0.000000,2.729362,2.723664,3.000000
37,0.000000,2.729790,2.724885,3.000000
38,0.000000,2.727406,2.718525,3.000000
39,0.000000,2.728392,2.721037,3.000000
40,0.000000,2.729542,2.724171,3.000000
41,0.000000,2.727370,2.718437,3.000000
42,0.000000,2.729207,2.723233,3.000000
43,0.000000,2.726837,2.717133,3.000000
44,0.000000,2.728369,2.720977,3.000000
45,0.000000,2.727011,2.717556,3.000000
46,0.000000,2.730766,2.727857,3.000000
47,0.000000,2.727264,2.718174,3.000000
48,0.000000,2.726869,2.717211,3.000000
49,0.000000,2.731045,2.728773,3.000000
50,0.000000,2.728077,2.720221,3.000000
51,0.000000,2.729724,2.724694,3.000000
52,0.000000,2.731100,2.728957,3.000000
53,0.000000,2.731187,2.729249,3.000000
54,0.000000,2.728688,2.721822,3.000000
55,0.000000,2.731558,2.730549,3.000000
56,0.000000,2.726912,2.717314,3.000000
57,0.000000,2.729451,2.723915,3.000000
58,0.000000,2.730601,2.727333,3.000000
59,0.000000,2.731580,2.730627,3.000000
60,0.000000,2.730157,2.725968,3.000000
61,0.000000,2.731433,2.730102,3.000000
62,0.000000,2.730276,2.726327,3.000000
63,0.000000,2.730909,2.728324,3.000000
64,0.000000,2.728924,2.722457,3.000000
65,0.000000,2.726832,2.717121,3.000000
66,0.000000,2.727109,2.717794,3.000000
67,0.000000,2.726875,2.717226,3.000000
68,0.000000,2.730971,2.728526,3.000000
69,0.000000,2.729366,2.723674,3.000000
70,0.000000,2.727460,2.718660,3.000000
71,0.000000,2.730726,2.727730,3.000000
72,0.000000,2.728653,2.721728,3.000000
73,0.000000,2.730733,2.727752,3.000000
74,0.000000,2.729779,2.724853,3.000000
75,0.000000,2.728488,2.721291,3.000000
76,0.000000,2.727329,2.718334,3.000000
77,0.000000,2.730047,2.725638,3.000000
78,0.000000,2.729053,2.722808,3.000000
79,0.000000,2.731228,2.729389,3.000000
80,0.000000,2.731072,2.728862,3.000000
81,0.000000,2.731400,2.729985,3.000000
82,0.000000,2.729286,2.723451,3.000000
83,0.000000,2.729426,2.723842,3.000000
84,0.000000,2.728637,2.721684,3.000000
85,0.000000,2.729543,2.724174,3.000000
86,0.000000,2.728204,2.720547,3.000000
87,0.000000,2.727991,2.719999,3.000000
88,0.000000,2.729789,2.724882,3.000000
89,0.000000,2.726935,2.717370,3.000000
90,0.000000,2.727704,2.719271,3.000000
91,0.000000,2.727921,2.719821,3.000000
92,0.000000,2.731294,2.729615,3.000000
93,0.000000,2.731058,2.728815,3.000000
94,0.000000,2.730716,2.727699,3.000000
95,0.000000,2.727148,2.717888,3.000000
